trade_date,ts_code,open,high,low,close,vol,amount,log_return,log_return_seasonal_diff,month,quarter,dayofweek,is_monday,is_before_holiday
2013-09-04,600519.SH,152.0,153.55,151.6,152.1,76789.98,1171694.804,0.002897025992457003,-0.0015083934962198953,9,3,2,0,0
2013-09-05,600519.SH,151.86,152.8,149.3,150.27,71283.26,1070129.375,-0.012104523227611352,-0.0031589965179126267,9,3,3,0,0
2013-09-06,600519.SH,150.1,150.9,149.77,150.28,37783.66,567391.478,6.654466813316162e-05,-0.0061350255951477806,9,3,4,0,0
2013-09-09,600519.SH,151.0,151.52,149.88,150.95,69270.92,1042258.764,0.004448435447079291,0.0022183976415233175,9,3,0,1,0
2013-09-10,600519.SH,150.8,151.88,150.08,151.62,54093.09,816720.661,0.004428734475309781,0.016437957439118023,9,3,1,0,0
2013-09-11,600519.SH,151.75,152.78,150.0,152.57,69012.93,1045733.434,0.006246116496953391,0.0007694936942206354,9,3,2,0,0
2013-09-12,600519.SH,152.63,153.2,151.21,151.73,47723.11,725740.678,-0.00552088158796149,-0.0009687402747733387,9,3,3,0,0
2013-09-13,600519.SH,151.69,154.48,151.65,152.02,68254.87,1044001.958,0.0019094656007450084,0.020857707771289036,9,3,4,0,0
2013-09-16,600519.SH,152.62,152.62,149.59,149.65,58877.12,889024.058,-0.015712856839186884,-0.007319876546965531,9,3,0,1,1
2013-09-17,600519.SH,149.0,149.2,140.51,141.3,109057.97,1571781.594,-0.0574139446082258,-0.059192987952380705,9,3,1,0,1
2013-09-18,600519.SH,141.0,142.38,139.5,141.9,67317.66,949223.067,0.004237294475514908,0.10947931970130487,9,3,2,0,1
2013-09-23,600519.SH,141.99,142.0,140.05,140.81,65409.62,921212.137,-0.0077111202367765586,-0.005998227005536094,9,3,0,1,0
2013-09-24,600519.SH,141.0,142.26,136.7,136.8,98819.15,1371542.71,-0.028891458740769593,-0.031788484733226596,9,3,1,0,0
2013-09-25,600519.SH,136.55,137.5,133.02,135.16,69789.01,943851.491,-0.012060743342360958,4.377988525039456e-05,9,3,2,0,0
2013-09-26,600519.SH,134.0,136.22,134.0,135.42,47227.83,638421.037,0.0019217982114092536,0.001855253543276092,9,3,3,0,0
2013-09-27,600519.SH,135.49,136.16,133.79,134.06,34639.25,465617.869,-0.01009359912768737,-0.01454203457476666,9,3,4,0,0
2013-09-30,600519.SH,133.93,136.31,133.52,135.94,50460.64,681360.332,0.013926150988680774,0.009497416513370993,9,3,0,1,0
2013-10-09,600519.SH,136.6,137.4,135.8,136.99,40815.04,557664.494,0.0076943185448064,0.0014482020478530089,10,4,2,0,0
2013-10-10,600519.SH,137.0,137.38,136.25,137.04,29045.52,397207.813,0.0003649235525653438,0.005885805140526834,10,4,3,0,0
2013-10-11,600519.SH,135.3,137.83,135.3,137.52,36455.56,499830.914,0.0034965070587302804,0.001587041457985272,10,4,4,0,0
