p,d,q,P,D,Q,rmse,mae,mape
0,1,0,1,1,1,94.37008888850465,76.36232374061485,0.04376420394736479
0,1,1,0,0,0,77.99911089781719,63.81215178745135,0.03546828899318644
0,1,1,0,0,1,81.09925909360965,66.23734800860929,0.036757007313691546
0,1,1,0,1,0,546.4134473976103,487.46410317193744,0.2762621101570164
0,1,1,0,1,1,94.0179921795432,76.11579024698766,0.04365702406804558
0,1,1,1,0,0,80.13486862627252,65.44296209941389,0.03633131503063345
0,1,1,1,0,1,81.18656729391581,66.3084951903797,0.03679515830332365
0,1,1,1,1,0,607.4111281200151,520.9580571635165,0.29806983113307256
0,1,1,1,1,1,94.01502289484476,76.07007421261817,0.04358693733260455
0,1,2,0,0,0,78.07967781618957,63.87047213102045,0.03549894674979548
0,1,2,0,0,1,81.17753715056263,66.30269807345017,0.03679209700195151
0,1,2,0,1,0,552.5442029429448,492.87355904469905,0.27934406118829314
0,1,2,0,1,1,95.90826570194122,77.67695183246434,0.04456458641927853
0,1,2,1,0,0,80.24699218996359,65.53686136004328,0.036381640867196655
0,1,2,1,0,1,81.07828780955053,66.2217127822747,0.03674866999602603
0,1,2,1,1,0,605.615103232823,519.3883323519273,0.29717469822609177
0,1,2,1,1,1,93.88032527737734,75.95759120483751,0.04351930746757203
1,0,0,0,0,0,98.18582646195841,80.25338338763831,0.04436552991860638
1,0,0,0,0,1,102.28683506444145,84.50587951524226,0.0467380281069804
1,0,0,0,1,0,91.01006129877395,74.67317597220867,0.04138938464909636
1,0,0,0,1,1,72.92733975265732,59.73087411131499,0.03357497995950625
1,0,0,1,0,0,101.39906382674228,83.56735999447919,0.046215146989583095
1,0,0,1,0,1,97.43813727015323,79.53794192154355,0.04396642863130874
1,0,0,1,1,0,77.55211886082223,63.31136163041509,0.03642750903126552
1,0,0,1,1,1,74.19092623628306,60.8389732164473,0.034115671032236276
1,0,1,0,0,0,97.11523863056485,79.23375070588517,0.04379667338365016
1,0,1,0,0,1,101.12041649101234,83.29853303572489,0.046060056750236375
1,0,1,0,1,0,88.3103115799102,72.24505041949742,0.04006504005749632
1,0,1,0,1,1,79.72886595571255,65.1850798155208,0.03618200894182011
1,0,1,1,0,0,100.77737854262574,82.92313559234726,0.04585330268616461
1,0,1,1,0,1,99.19098528860259,81.23698237706714,0.044915252502376754
1,0,1,1,1,0,76.94747753671892,62.82402102391569,0.03613348879641921
1,0,1,1,1,1,74.1752939555216,60.80085683857826,0.03410264713130175
1,0,2,0,0,0,99.94317921400415,81.98807826006102,0.04533568759530708
1,0,2,0,0,1,103.97882564109764,86.24681401375433,0.047715944354671684
